Class;x min;y min;x max - x min;y max - ymin;Image name;Width;Height
2;99;46;15;28;20200614_151951.jpg;262;87
h;132;48;21;24;20200614_151951.jpg;262;87
6;178;46;16;32;20200614_151951.jpg;262;87
2;30;54;17;47;20200614_151951___ADD_1.jpg;143;146
5;50;52;22;48;20200614_151951___ADD_1.jpg;143;146
5;71;51;21;47;20200614_151951___ADD_1.jpg;143;146
2;90;51;24;48;20200614_151951___ADD_1.jpg;143;146
8;110;54;22;41;20200614_151951___ADD_1.jpg;143;146
9;49;48;28;70;20200614_151955.jpg;437;146
8;77;48;26;74;20200614_151955.jpg;437;146
2;102;46;28;79;20200614_151955.jpg;437;146
7;130;43;32;76;20200614_151955.jpg;437;146
2;157;42;32;81;20200614_151955.jpg;437;146
h;237;44;41;59;20200614_151955.jpg;437;146
6;335;35;41;82;20200614_151955.jpg;437;146
9;23;45;40;97;20200614_151956.jpg;517;226
8;60;55;38;83;20200614_151956.jpg;517;226
2;93;55;43;92;20200614_151956.jpg;517;226
7;127;57;44;98;20200614_151956.jpg;517;226
2;169;64;45;101;20200614_151956.jpg;517;226
h;271;89;61;69;20200614_151956.jpg;517;226
6;419;92;41;104;20200614_151956.jpg;517;226
2;69;29;71;138;20200614_152008.jpg;794;232
1;132;37;52;135;20200614_152008.jpg;794;232
3;180;44;59;118;20200614_152008.jpg;794;232
0;227;36;57;131;20200614_152008.jpg;794;232
4;286;33;57;143;20200614_152008.jpg;794;232
d;447;57;97;111;20200614_152008.jpg;794;232
8;635;51;74;131;20200614_152008.jpg;794;232
9;71;89;50;142;20200614_152014.jpg;605;465
4;125;115;42;127;20200614_152014.jpg;605;465
9;170;133;37;118;20200614_152014.jpg;605;465
1;210;144;39;131;20200614_152014.jpg;605;465
d;328;209;65;101;20200614_152014.jpg;605;465
8;475;239;66;138;20200614_152014.jpg;605;465
9;66;64;95;172;20200614_152015.jpg;903;597
4;157;91;71;171;20200614_152015.jpg;903;597
9;216;113;81;166;20200614_152015.jpg;903;597
1;284;143;71;169;20200614_152015.jpg;903;597
d;473;236;106;137;20200614_152015.jpg;903;597
8;720;296;84;191;20200614_152015.jpg;903;597
4;35;47;78;141;20200614_152021(0).jpg;757;247
0;111;44;69;145;20200614_152021(0).jpg;757;247
2;175;45;65;144;20200614_152021(0).jpg;757;247
7;243;40;75;145;20200614_152021(0).jpg;757;247
8;313;41;75;146;20200614_152021(0).jpg;757;247
waw;471;54;63;134;20200614_152021(0).jpg;757;247
6;622;41;84;159;20200614_152021(0).jpg;757;247
4;49;34;70;129;20200614_152021.jpg;692;204
0;119;38;55;121;20200614_152021.jpg;692;204
2;182;37;58;122;20200614_152021.jpg;692;204
7;236;43;67;119;20200614_152021.jpg;692;204
8;301;47;64;116;20200614_152021.jpg;692;204
waw;430;66;66;104;20200614_152021.jpg;692;204
6;563;52;80;127;20200614_152021.jpg;692;204
6;61;49;57;103;20200614_152025.jpg;794;211
7;107;42;42;111;20200614_152025.jpg;794;211
6;151;41;50;111;20200614_152025.jpg;794;211
3;194;50;41;103;20200614_152025.jpg;794;211
2;232;46;60;105;20200614_152025.jpg;794;211
h;437;58;73;94;20200614_152025.jpg;794;211
6;638;42;67;118;20200614_152025.jpg;794;211
6;71;89;67;164;20200614_152027.jpg;1077;545
7;132;103;54;151;20200614_152027.jpg;1077;545
6;192;121;59;145;20200614_152027.jpg;1077;545
3;246;127;64;154;20200614_152027.jpg;1077;545
2;308;146;67;146;20200614_152027.jpg;1077;545
h;602;218;106;132;20200614_152027.jpg;1077;545
6;929;240;79;184;20200614_152027.jpg;1077;545
8;94;43;125;196;20200614_161041.jpg;1281;269
2;195;28;81;213;20200614_161041.jpg;1281;269
0;274;41;93;196;20200614_161041.jpg;1281;269
2;374;43;79;196;20200614_161041.jpg;1281;269
1;459;30;68;227;20200614_161041.jpg;1281;269
d;707;56;191;145;20200614_161041.jpg;1281;269
1;1056;13;100;204;20200614_161041.jpg;1281;269
3;24;70;59;115;20200614_161045.jpg;589;204
4;82;65;46;116;20200614_161045.jpg;589;204
0;128;65;50;112;20200614_161045.jpg;589;204
0;179;62;46;110;20200614_161045.jpg;589;204
2;227;58;53;113;20200614_161045.jpg;589;204
h;335;74;63;78;20200614_161045.jpg;589;204
6;454;48;76;120;20200614_161045.jpg;589;204
3;42;60;73;160;20200614_161047.jpg;794;356
4;115;67;54;157;20200614_161047.jpg;794;356
0;179;88;62;150;20200614_161047.jpg;794;356
0;241;87;61;159;20200614_161047.jpg;794;356
2;297;98;81;162;20200614_161047.jpg;794;356
h;458;141;75;119;20200614_161047.jpg;794;356
6;629;138;87;179;20200614_161047.jpg;794;356
3;43;65;72;156;20200614_161051.jpg;888;393
4;106;87;64;141;20200614_161051.jpg;888;393
2;168;91;80;152;20200614_161051.jpg;888;393
5;237;103;73;149;20200614_161051.jpg;888;393
0;304;113;73;151;20200614_161051.jpg;888;393
d;483;150;110;143;20200614_161051.jpg;888;393
8;728;183;85;152;20200614_161051.jpg;888;393
2;26;45;21;65;20200614_161053.jpg;371;203
0;50;50;23;61;20200614_161053.jpg;371;203
8;74;55;27;65;20200614_161053.jpg;371;203
4;98;60;24;71;20200614_161053.jpg;371;203
9;121;65;30;65;20200614_161053.jpg;371;203
d;206;88;28;50;20200614_161053.jpg;371;203
8;291;101;29;66;20200614_161053.jpg;371;203
2;27;25;28;87;20200614_161054.jpg;436;211
0;59;33;25;82;20200614_161054.jpg;436;211
8;89;41;30;78;20200614_161054.jpg;436;211
4;118;43;29;82;20200614_161054.jpg;436;211
9;149;50;34;78;20200614_161054.jpg;436;211
d;236;75;64;68;20200614_161054.jpg;436;211
8;364;82;38;87;20200614_161054.jpg;436;211
4;37;68;38;68;20200614_161057.jpg;385;139
8;73;62;32;69;20200614_161057.jpg;385;139
3;101;58;33;67;20200614_161057.jpg;385;139
0;134;55;31;67;20200614_161057.jpg;385;139
0;165;49;32;68;20200614_161057.jpg;385;139
b;227;57;41;34;20200614_161057.jpg;385;139
8;294;32;35;69;20200614_161057.jpg;385;139
1;32;52;34;85;20200614_161102.jpg;531;138
6;70;44;42;90;20200614_161102.jpg;531;138
9;112;45;39;89;20200614_161102.jpg;531;138
6;152;39;36;95;20200614_161102.jpg;531;138
1;194;33;31;95;20200614_161102.jpg;531;138
a;320;22;37;97;20200614_161102.jpg;531;138
5;424;14;48;85;20200614_161102.jpg;531;138
4;34;45;24;68;20200614_161106.jpg;342;152
9;59;44;24;70;20200614_161106.jpg;342;152
6;86;46;22;71;20200614_161106.jpg;342;152
0;108;51;28;66;20200614_161106.jpg;342;152
6;135;50;27;66;20200614_161106.jpg;342;152
a;190;51;23;69;20200614_161106.jpg;342;152
7;240;52;31;68;20200614_161106.jpg;342;152
2;269;54;34;68;20200614_161106.jpg;342;152
4;45;37;39;89;20200614_161107.jpg;481;168
9;85;39;33;88;20200614_161107.jpg;481;168
6;120;42;34;91;20200614_161107.jpg;481;168
0;157;45;37;87;20200614_161107.jpg;481;168
6;195;47;35;91;20200614_161107.jpg;481;168
a;274;58;31;89;20200614_161107.jpg;481;168
7;346;60;42;93;20200614_161107.jpg;481;168
2;387;68;45;89;20200614_161107.jpg;481;168
3;43;56;37;95;20200614_161111.jpg;604;219
9;87;57;37;96;20200614_161111.jpg;604;219
7;128;63;37;91;20200614_161111.jpg;604;219
0;163;63;43;97;20200614_161111.jpg;604;219
0;208;72;41;91;20200614_161111.jpg;604;219
a;335;73;37;92;20200614_161111.jpg;604;219
1;459;84;42;96;20200614_161111.jpg;604;219
0;502;86;57;93;20200614_161111.jpg;604;219
3;59;61;56;117;20200614_161112.jpg;765;277
9;114;59;54;122;20200614_161112.jpg;765;277
7;168;59;51;122;20200614_161112.jpg;765;277
0;213;60;54;122;20200614_161112.jpg;765;277
0;263;58;62;126;20200614_161112.jpg;765;277
a;425;58;51;135;20200614_161112.jpg;765;277
1;582;60;45;135;20200614_161112.jpg;765;277
0;638;68;67;131;20200614_161112.jpg;765;277
6;220;70;61;93;20200614_161116.jpg;604;226
5;281;56;50;101;20200614_161116.jpg;604;226
2;331;56;53;102;20200614_161116.jpg;604;226
6;531;151;170;234;20200614_161118.jpg;1558;524
5;705;128;140;264;20200614_161118.jpg;1558;524
2;848;105;138;280;20200614_161118.jpg;1558;524
7;53;24;54;151;20200614_161122.jpg;873;291
2;117;33;57;149;20200614_161122.jpg;873;291
3;176;37;53;155;20200614_161122.jpg;873;291
6;237;41;55;156;20200614_161122.jpg;873;291
8;299;51;61;151;20200614_161122.jpg;873;291
b;475;79;116;124;20200614_161122.jpg;873;291
8;703;89;85;164;20200614_161122.jpg;873;291
1;81;100;53;117;20200614_161126.jpg;691;269
5;135;86;56;135;20200614_161126.jpg;691;269
3;192;85;40;117;20200614_161126.jpg;691;269
5;236;75;42;124;20200614_161126.jpg;691;269
4;283;67;45;120;20200614_161126.jpg;691;269
1;232;1477;339;370;20200614_161128.jpg;2541;2155
5;436;1325;370;376;20200614_161128.jpg;2541;2155
3;728;1148;297;397;20200614_161128.jpg;2541;2155
5;937;1049;256;350;20200614_161128.jpg;2541;2155
4;1161;950;266;292;20200614_161128.jpg;2541;2155
waw;1766;569;183;324;20200614_161128.jpg;2541;2155
6;2189;235;214;313;20200614_161128.jpg;2541;2155
1;54;104;42;80;20200614_161136.jpg;517;211
5;92;99;41;79;20200614_161136.jpg;517;211
3;129;95;42;81;20200614_161136.jpg;517;211
5;166;88;38;79;20200614_161136.jpg;517;211
4;210;85;37;75;20200614_161136.jpg;517;211
waw;285;81;56;66;20200614_161136.jpg;517;211
6;392;55;50;75;20200614_161136.jpg;517;211
1;69;65;34;73;20200614_161138.jpg;488;182
5;100;62;46;73;20200614_161138.jpg;488;182
3;132;58;48;76;20200614_161138.jpg;488;182
5;169;52;42;76;20200614_161138.jpg;488;182
4;212;46;38;76;20200614_161138.jpg;488;182
waw;294;45;41;62;20200614_161138.jpg;488;182
6;384;22;53;72;20200614_161138.jpg;488;182
b;182;97;76;35;20200614_161141.jpg;378;232
1;29;147;62;103;20200614_161148.jpg;582;305
7;82;136;39;113;20200614_161148.jpg;582;305
5;128;128;44;112;20200614_161148.jpg;582;305
7;178;121;38;101;20200614_161148.jpg;582;305
0;221;115;52;104;20200614_161148.jpg;582;305
b;348;100;88;79;20200614_161148.jpg;582;305
7;494;64;58;110;20200614_161148.jpg;582;305
1;29;90;65;147;20200614_161149.jpg;786;313
7;83;81;74;151;20200614_161149.jpg;786;313
5;160;71;65;162;20200614_161149.jpg;786;313
7;219;69;58;160;20200614_161149.jpg;786;313
0;284;68;77;153;20200614_161149.jpg;786;313
b;467;77;105;100;20200614_161149.jpg;786;313
7;679;34;65;158;20200614_161149.jpg;786;313
8;2;23;5;9;20200614_161222.jpg;52;44
9;7;22;4;10;20200614_161222.jpg;52;44
1;10;21;4;9;20200614_161222.jpg;52;44
1;13;19;3;10;20200614_161222.jpg;52;44
2;16;19;4;9;20200614_161222.jpg;52;44
b;27;16;6;7;20200614_161222.jpg;52;44
8;39;12;6;9;20200614_161222.jpg;52;44
7;35;15;19;45;20200614_161253.jpg;281;121
7;55;22;20;42;20200614_161253.jpg;281;121
8;75;27;19;41;20200614_161253.jpg;281;121
3;93;30;20;43;20200614_161253.jpg;281;121
8;113;35;21;43;20200614_161253.jpg;281;121
d;163;50;31;35;20200614_161253.jpg;281;121
6;226;59;29;46;20200614_161253.jpg;281;121
4;13;5;8;15;20200614_161302.jpg;104;30
1;23;5;6;16;20200614_161302.jpg;104;30
8;29;7;8;13;20200614_161302.jpg;104;30
9;38;6;8;13;20200614_161302.jpg;104;30
2;46;6;9;14;20200614_161302.jpg;104;30
h;62;8;17;12;20200614_161302.jpg;104;30
6;87;6;10;15;20200614_161302.jpg;104;30
4;20;4;23;36;20200614_161305.jpg;252;56
1;46;4;15;38;20200614_161305.jpg;252;56
8;64;3;22;36;20200614_161305.jpg;252;56
9;87;5;22;34;20200614_161305.jpg;252;56
2;109;7;24;33;20200614_161305.jpg;252;56
h;155;11;37;30;20200614_161305.jpg;252;56
6;214;8;21;34;20200614_161305.jpg;252;56
3;18;56;16;35;20200614_161309.jpg;189;116
9;35;51;13;37;20200614_161309.jpg;189;116
6;50;46;15;38;20200614_161309.jpg;189;116
6;64;44;16;33;20200614_161309.jpg;189;116
9;80;38;13;35;20200614_161309.jpg;189;116
a;116;28;13;34;20200614_161309.jpg;189;116
5;154;17;15;31;20200614_161309.jpg;189;116
9;168;10;15;35;20200614_161309.jpg;189;116
3;26;80;25;39;20200614_161310.jpg;298;149
9;51;73;25;40;20200614_161310.jpg;298;149
6;73;65;21;44;20200614_161310.jpg;298;149
6;94;62;22;40;20200614_161310.jpg;298;149
9;117;53;23;47;20200614_161310.jpg;298;149
a;177;41;19;42;20200614_161310.jpg;298;149
5;233;21;29;47;20200614_161310.jpg;298;149
9;259;15;23;46;20200614_161310.jpg;298;149
3;33;47;39;37;20200614_161311.jpg;382;101
9;63;46;33;38;20200614_161311.jpg;382;101
6;88;42;33;41;20200614_161311.jpg;382;101
6;112;41;30;41;20200614_161311.jpg;382;101
9;140;40;35;42;20200614_161311.jpg;382;101
a;208;33;37;45;20200614_161311.jpg;382;101
5;289;23;33;45;20200614_161311.jpg;382;101
9;322;20;27;43;20200614_161311.jpg;382;101
6;13;1;16;26;20200614_161347(0).jpg;179;40
7;27;2;14;26;20200614_161347(0).jpg;179;40
5;41;0;18;30;20200614_161347(0).jpg;179;40
6;59;2;14;29;20200614_161347(0).jpg;179;40
6;72;3;17;29;20200614_161347(0).jpg;179;40
h;108;6;22;26;20200614_161347(0).jpg;179;40
6;149;5;18;31;20200614_161347(0).jpg;179;40
6;9;7;12;23;20200614_161347.jpg;135;46
7;21;8;10;22;20200614_161347.jpg;135;46
5;32;8;11;22;20200614_161347.jpg;135;46
6;44;8;11;22;20200614_161347.jpg;135;46
6;55;9;10;22;20200614_161347.jpg;135;46
h;83;12;17;17;20200614_161347.jpg;135;46
6;113;10;13;22;20200614_161347.jpg;135;46
2;9;16;14;21;20200614_161354.jpg;144;42
6;23;15;12;21;20200614_161354.jpg;144;42
0;37;16;11;21;20200614_161354.jpg;144;42
0;51;17;12;20;20200614_161354.jpg;144;42
8;65;15;10;22;20200614_161354.jpg;144;42
a;96;16;8;20;20200614_161354.jpg;144;42
2;120;13;14;22;20200614_161354.jpg;144;42
2;4;14;17;24;20200614_161355.jpg;174;45
6;22;13;14;26;20200614_161355.jpg;174;45
0;40;15;14;24;20200614_161355.jpg;174;45
0;56;14;14;25;20200614_161355.jpg;174;45
8;74;14;15;25;20200614_161355.jpg;174;45
a;116;14;10;24;20200614_161355.jpg;174;45
2;145;12;21;26;20200614_161355.jpg;174;45
4;19;11;13;30;20200614_161359(0).jpg;146;99
6;29;18;13;27;20200614_161359(0).jpg;146;99
4;43;22;12;27;20200614_161359(0).jpg;146;99
6;55;25;11;28;20200614_161359(0).jpg;146;99
4;67;31;11;27;20200614_161359(0).jpg;146;99
a;93;41;13;26;20200614_161359(0).jpg;146;99
7;122;48;15;29;20200614_161359(0).jpg;146;99
4;9;14;9;25;20200614_161359.jpg;110;73
6;18;18;9;22;20200614_161359.jpg;110;73
4;27;19;10;23;20200614_161359.jpg;110;73
6;37;20;9;24;20200614_161359.jpg;110;73
4;46;23;10;22;20200614_161359.jpg;110;73
a;66;27;8;22;20200614_161359.jpg;110;73
7;86;30;12;24;20200614_161359.jpg;110;73
7;27;23;36;59;20200614_161404.jpg;441;256
8;66;39;35;55;20200614_161404.jpg;441;256
9;97;52;39;56;20200614_161404.jpg;441;256
9;131;60;36;62;20200614_161404.jpg;441;256
5;163;72;39;66;20200614_161404.jpg;441;256
a;251;104;21;66;20200614_161404.jpg;441;256
7;330;145;37;58;20200614_161404.jpg;441;256
2;371;167;36;59;20200614_161404.jpg;441;256
8;16;13;11;22;20200614_161443.jpg;127;63
4;28;15;9;24;20200614_161443.jpg;127;63
7;40;16;8;26;20200614_161443.jpg;127;63
9;50;18;10;26;20200614_161443.jpg;127;63
4;63;20;11;28;20200614_161443.jpg;127;63
h;82;27;13;20;20200614_161443.jpg;127;63
6;103;31;13;25;20200614_161443.jpg;127;63
8;10;9;13;31;20200614_161444.jpg;165;101
4;25;13;12;29;20200614_161444.jpg;165;101
7;37;15;11;29;20200614_161444.jpg;165;101
9;54;21;12;30;20200614_161444.jpg;165;101
4;69;22;14;31;20200614_161444.jpg;165;101
h;98;35;13;22;20200614_161444.jpg;165;101
6;123;40;14;34;20200614_161444.jpg;165;101
3;9;10;8;19;20200614_161504.jpg;117;48
1;18;9;6;20;20200614_161504.jpg;117;48
0;25;10;8;20;20200614_161504.jpg;117;48
6;34;11;8;20;20200614_161504.jpg;117;48
7;42;11;9;20;20200614_161504.jpg;117;48
waw;67;16;12;17;20200614_161504.jpg;117;48
6;94;15;12;20;20200614_161504.jpg;117;48
3;9;14;10;24;20200614_161505.jpg;142;46
1;20;12;8;26;20200614_161505.jpg;142;46
0;28;11;11;26;20200614_161505.jpg;142;46
6;39;11;11;26;20200614_161505.jpg;142;46
7;49;10;12;27;20200614_161505.jpg;142;46
waw;83;15;13;21;20200614_161505.jpg;142;46
6;117;8;13;26;20200614_161505.jpg;142;46
5;11;20;10;30;20200614_161511.jpg;127;110
7;22;22;7;28;20200614_161511.jpg;127;110
3;30;25;9;30;20200614_161511.jpg;127;110
4;39;27;9;31;20200614_161511.jpg;127;110
7;48;32;9;29;20200614_161511.jpg;127;110
0;56;36;10;28;20200614_161511.jpg;127;110
w;83;45;21;34;20200614_161511.jpg;127;110
w;104;49;20;34;20200614_161511.jpg;127;110
2;17;8;15;30;20200614_161514.jpg;188;58
8;32;9;12;30;20200614_161514.jpg;188;58
2;45;10;13;29;20200614_161514.jpg;188;58
0;59;11;15;30;20200614_161514.jpg;188;58
9;73;12;14;30;20200614_161514.jpg;188;58
a;106;12;13;31;20200614_161514.jpg;188;58
6;140;13;16;30;20200614_161514.jpg;188;58
1;156;15;15;31;20200614_161514.jpg;188;58
7;12;7;13;32;20200614_161518.jpg;154;79
0;25;10;12;29;20200614_161518.jpg;154;79
4;37;12;11;31;20200614_161518.jpg;154;79
2;47;14;11;32;20200614_161518.jpg;154;79
6;58;17;12;31;20200614_161518.jpg;154;79
b;85;27;22;21;20200614_161518.jpg;154;79
8;124;29;17;34;20200614_161518.jpg;154;79
1;21;16;13;41;20200614_161522.jpg;218;110
0;40;17;18;44;20200614_161522.jpg;218;110
7;60;22;19;41;20200614_161522.jpg;218;110
1;80;26;15;42;20200614_161522.jpg;218;110
a;137;38;12;39;20200614_161522.jpg;218;110
7;165;44;23;42;20200614_161522.jpg;218;110
2;185;49;24;41;20200614_161522.jpg;218;110
1;47;30;18;62;20200614_161523.jpg;241;173
0;73;36;34;59;20200614_161523.jpg;241;173
7;101;41;37;57;20200614_161523.jpg;241;173
1;136;48;30;54;20200614_161523.jpg;241;173
7;25;24;12;25;20200614_161526.jpg;150;58
7;38;21;11;27;20200614_161526.jpg;150;58
6;48;19;10;28;20200614_161526.jpg;150;58
7;58;17;11;27;20200614_161526.jpg;150;58
4;68;16;13;24;20200614_161526.jpg;150;58
b;93;17;18;15;20200614_161526.jpg;150;58
8;125;6;16;24;20200614_161526.jpg;150;58
7;15;41;13;31;20200614_161527.jpg;163;86
7;28;37;13;33;20200614_161527.jpg;163;86
6;41;35;15;33;20200614_161527.jpg;163;86
7;54;34;12;30;20200614_161527.jpg;163;86
4;66;32;11;30;20200614_161527.jpg;163;86
b;97;31;19;18;20200614_161527.jpg;163;86
8;133;18;15;30;20200614_161527.jpg;163;86
1;20;17;14;28;20200614_161537.jpg;174;64
8;34;17;12;30;20200614_161537.jpg;174;64
1;47;18;9;28;20200614_161537.jpg;174;64
0;57;18;15;31;20200614_161537.jpg;174;64
d;90;24;19;24;20200614_161537.jpg;174;64
8;127;22;19;31;20200614_161537.jpg;174;64
7;10;24;10;23;20200614_161545.jpg;136;50
7;21;23;9;22;20200614_161545.jpg;136;50
6;31;23;10;24;20200614_161545.jpg;136;50
7;41;22;11;22;20200614_161545.jpg;136;50
4;54;20;10;23;20200614_161545.jpg;136;50
b;81;21;15;14;20200614_161545.jpg;136;50
8;117;12;12;22;20200614_161545.jpg;136;50
1;8;8;12;31;20200614_161550.jpg;138;61
0;22;9;14;30;20200614_161550.jpg;138;61
7;37;11;11;28;20200614_161550.jpg;138;61
1;51;12;12;30;20200614_161550.jpg;138;61
a;83;17;12;31;20200614_161550.jpg;138;61
7;105;21;14;30;20200614_161550.jpg;138;61
2;120;24;15;29;20200614_161550.jpg;138;61
7;7;19;10;25;20200614_161553.jpg;128;54
0;17;19;12;25;20200614_161553.jpg;128;54
4;29;19;8;24;20200614_161553.jpg;128;54
2;38;19;9;25;20200614_161553.jpg;128;54
6;47;19;11;25;20200614_161553.jpg;128;54
b;68;23;19;16;20200614_161553.jpg;128;54
8;104;18;12;25;20200614_161553.jpg;128;54
2;19;12;12;21;20200614_161557.jpg;159;55
8;31;14;11;21;20200614_161557.jpg;159;55
2;40;15;13;21;20200614_161557.jpg;159;55
0;52;17;14;20;20200614_161557.jpg;159;55
9;64;19;12;20;20200614_161557.jpg;159;55
a;90;19;10;23;20200614_161557.jpg;159;55
6;117;21;15;22;20200614_161557.jpg;159;55
1;129;24;16;21;20200614_161557.jpg;159;55
5;9;21;10;20;20200614_161601.jpg;114;59
7;18;19;8;22;20200614_161601.jpg;114;59
3;26;19;9;22;20200614_161601.jpg;114;59
4;35;18;9;20;20200614_161601.jpg;114;59
7;43;17;9;20;20200614_161601.jpg;114;59
0;52;18;9;18;20200614_161601.jpg;114;59
w;78;14;14;21;20200614_161601.jpg;114;59
w;93;12;16;21;20200614_161601.jpg;114;59
5;12;30;14;23;20200614_161602.jpg;154;71
7;25;27;10;25;20200614_161602.jpg;154;71
3;35;27;12;26;20200614_161602.jpg;154;71
4;47;26;10;25;20200614_161602.jpg;154;71
7;57;25;11;25;20200614_161602.jpg;154;71
0;67;24;13;27;20200614_161602.jpg;154;71
w;100;19;21;27;20200614_161602.jpg;154;71
w;122;18;18;28;20200614_161602.jpg;154;71
3;18;14;20;36;20200614_161606.jpg;215;119
1;38;22;10;32;20200614_161606.jpg;215;119
0;50;26;14;32;20200614_161606.jpg;215;119
6;66;31;14;33;20200614_161606.jpg;215;119
7;80;33;16;35;20200614_161606.jpg;215;119
waw;129;53;23;32;20200614_161606.jpg;215;119
6;176;64;23;36;20200614_161606.jpg;215;119
1;18;23;8;24;20200614_161630.jpg;133;55
6;28;20;12;26;20200614_161630.jpg;133;55
4;40;18;12;25;20200614_161630.jpg;133;55
8;52;16;11;25;20200614_161630.jpg;133;55
0;63;16;12;25;20200614_161630.jpg;133;55
b;85;15;18;17;20200614_161630.jpg;133;55
6;111;7;14;24;20200614_161630.jpg;133;55
3;6;13;7;12;20200614_161638.jpg;73;29
5;12;13;6;12;20200614_161638.jpg;73;29
8;19;12;5;12;20200614_161638.jpg;73;29
9;25;12;6;12;20200614_161638.jpg;73;29
6;31;10;7;14;20200614_161638.jpg;73;29
a;43;10;5;12;20200614_161638.jpg;73;29
8;54;9;7;12;20200614_161638.jpg;73;29
3;17;8;16;24;20200614_161640.jpg;163;36
5;33;6;13;27;20200614_161640.jpg;163;36
8;45;5;13;26;20200614_161640.jpg;163;36
9;58;4;15;25;20200614_161640.jpg;163;36
6;73;4;13;25;20200614_161640.jpg;163;36
a;100;1;13;25;20200614_161640.jpg;163;36
8;124;2;13;23;20200614_161640.jpg;163;36
6;7;7;7;13;20200614_161648.jpg;78;25
8;13;6;5;15;20200614_161648.jpg;78;25
2;18;5;7;16;20200614_161648.jpg;78;25
d;41;7;8;11;20200614_161648.jpg;78;25
8;63;3;9;16;20200614_161648.jpg;78;25
8;15;31;14;25;20200614_161650.jpg;152;63
8;29;29;8;27;20200614_161650.jpg;152;63
2;38;26;11;28;20200614_161650.jpg;152;63
d;79;20;19;22;20200614_161650.jpg;152;63
8;127;8;11;26;20200614_161650.jpg;152;63
7;13;20;5;14;20200614_161704.jpg;78;46
6;19;18;6;13;20200614_161704.jpg;78;46
1;24;18;3;13;20200614_161704.jpg;78;46
9;28;16;5;14;20200614_161704.jpg;78;46
5;33;15;6;14;20200614_161704.jpg;78;46
waw;47;13;6;12;20200614_161704.jpg;78;46
6;61;9;7;14;20200614_161704.jpg;78;46
7;15;12;12;24;20200614_161713(0).jpg;161;42
9;27;13;13;22;20200614_161713(0).jpg;161;42
2;40;12;11;22;20200614_161713(0).jpg;161;42
4;53;11;12;24;20200614_161713(0).jpg;161;42
0;63;12;12;22;20200614_161713(0).jpg;161;42
b;97;16;14;14;20200614_161713(0).jpg;161;42
8;131;10;13;24;20200614_161713(0).jpg;161;42
7;16;8;9;20;20200614_161713.jpg;131;39
9;27;9;9;20;20200614_161713.jpg;131;39
2;36;10;9;18;20200614_161713.jpg;131;39
4;47;11;9;19;20200614_161713.jpg;131;39
0;55;10;11;19;20200614_161713.jpg;131;39
b;84;17;12;12;20200614_161713.jpg;131;39
8;109;12;12;20;20200614_161713.jpg;131;39
8;6;5;5;10;20200614_161722.jpg;68;20
9;11;4;5;10;20200614_161722.jpg;68;20
2;16;5;5;9;20200614_161722.jpg;68;20
5;20;4;4;10;20200614_161722.jpg;68;20
8;24;5;5;9;20200614_161722.jpg;68;20
h;38;6;7;7;20200614_161722.jpg;68;20
6;53;3;6;9;20200614_161722.jpg;68;20
8;9;13;5;10;20200614_161723.jpg;74;29
9;14;12;5;11;20200614_161723.jpg;74;29
2;19;11;5;11;20200614_161723.jpg;74;29
5;24;10;5;11;20200614_161723.jpg;74;29
8;29;10;6;10;20200614_161723.jpg;74;29
h;44;11;7;7;20200614_161723.jpg;74;29
6;61;6;6;11;20200614_161723.jpg;74;29
7;6;12;11;25;20200614_161724(0).jpg;151;76
2;19;16;14;25;20200614_161724(0).jpg;151;76
2;33;19;14;22;20200614_161724(0).jpg;151;76
6;48;22;11;24;20200614_161724(0).jpg;151;76
7;60;24;13;24;20200614_161724(0).jpg;151;76
h;92;35;25;20;20200614_161724(0).jpg;151;76
6;136;36;13;27;20200614_161724(0).jpg;151;76
7;9;17;8;19;20200614_161724.jpg;129;50
2;19;17;10;19;20200614_161724.jpg;129;50
2;29;16;11;19;20200614_161724.jpg;129;50
6;41;16;10;19;20200614_161724.jpg;129;50
7;51;16;11;20;20200614_161724.jpg;129;50
h;75;18;22;15;20200614_161724.jpg;129;50
6;110;14;12;20;20200614_161724.jpg;129;50
4;10;29;8;18;20200614_161736.jpg;107;61
0;18;28;9;18;20200614_161736.jpg;107;61
6;26;27;9;18;20200614_161736.jpg;107;61
6;33;25;8;18;20200614_161736.jpg;107;61
3;42;24;8;19;20200614_161736.jpg;107;61
h;66;22;12;13;20200614_161736.jpg;107;61
6;92;15;11;17;20200614_161736.jpg;107;61
6;14;71;15;30;20200614_161742.jpg;171;112
7;28;68;12;30;20200614_161742.jpg;171;112
1;41;62;10;32;20200614_161742.jpg;171;112
5;51;58;13;31;20200614_161742.jpg;171;112
9;64;56;15;30;20200614_161742.jpg;171;112
a;107;42;14;27;20200614_161742.jpg;171;112
7;147;24;14;31;20200614_161742.jpg;171;112
8;47;133;46;42;20200614_161747(0).jpg;421;212
5;80;120;48;45;20200614_161747(0).jpg;421;212
7;112;113;35;46;20200614_161747(0).jpg;421;212
0;147;106;39;42;20200614_161747(0).jpg;421;212
5;179;93;35;43;20200614_161747(0).jpg;421;212
b;259;65;54;38;20200614_161747(0).jpg;421;212
6;360;37;31;43;20200614_161747(0).jpg;421;212
8;49;129;37;43;20200614_161747.jpg;352;206
5;76;115;35;46;20200614_161747.jpg;352;206
7;102;107;30;45;20200614_161747.jpg;352;206
0;128;100;32;43;20200614_161747.jpg;352;206
